City,FAA,IATA,ICAO,Airport,Role,Enplanements
New York,LGA,LGA,KLGA,LaGuardia Airport (and Marine Air Terminal),P-L,15_058_501
New York / Islip,ISP,ISP,KISP,Long Island MacArthur Airport,P-S,811_535
Newburgh,SWF,SWF,KSWF,New York Stewart International Airport,P-N,354_869
Niagara Falls,IAG,IAG,KIAG,Niagara Falls International Airport,P-N,119_182
Ogdensburg,OGS,OGS,KOGS,Ogdensburg International Airport,P-N,23_448
Plattsburgh,PBG,PBG,KPBG,Plattsburgh International Airport,P-N,119_783
Rochester,ROC,ROC,KROC,Frederick Douglass/Greater Rochester International Airport,P-S,1_281_908
Syracuse,SYR,SYR,KSYR,Syracuse Hancock International Airport,P-S,1_139_568
Watertown,ART,ART,KART,Watertown International Airport,P-N,23_844
White Plains,HPN,HPN,KHPN,Westchester County Airport,P-S,789_283
NORTH CAROLINA,,,,,,
Asheville,AVL,AVL,KAVL,Asheville Regional Airport,P-S,573_206
Charlotte,CLT,CLT,KCLT,Charlotte Douglas International Airport,P-L,22_281_949
Concord,JQF,USA,KJQF,Concord-Padgett Regional Airport,P-N,147_065
Fayetteville,FAY,FAY,KFAY,Fayetteville Regional Airport (Grannis Field),P-N,234_998
Greensboro,GSO,GSO,KGSO,Piedmont Triad International Airport,P-S,938_593
Greenville,PGV,PGV,KPGV,Pitt-Greenville Airport,P-N,51_599
Jacksonville,OAJ,OAJ,KOAJ,Albert J. Ellis Airport,P-N,152_448
New Bern,EWN,EWN,KEWN,Coastal Carolina Regional Airport (was Craven County Regional),P-N,111_172
Raleigh,RDU,RDU,KRDU,Raleigh-Durham International Airport,P-M,6_258_101
Wilmington,ILM,ILM,KILM,Wilmington International Airport,P-S,468_816
NORTH DAKOTA,,,,,,
Bismarck,BIS,BIS,KBIS,Bismarck Municipal Airport,P-N,285_198
Dickinson,DIK,DIK,KDIK,Dickinson Theodore Roosevelt Regional Airport,P-N,22_595
Fargo,FAR,FAR,KFAR,Hector International Airport,P-S,429_667
Grand Forks,GFK,GFK,KGFK,Grand Forks International Airport,P-N,114_578
